Table 2-1: Transportation Fatalities by Mode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,
Other incident f,"27,909","36,759","40,637","1,018",669,628,584,590,485,536,516,501,609,573,540,596,591,581,642,729,732,845,786,772,768,705,709,699,729,701,761,765,U,,
"Railroad, total g",N,N,N,N,"1,417","1,036","1,297","1,194","1,170","1,279","1,226","1,146","1,039","1,063","1,008",932,937,971,951,865,891,884,903,851,804,695,735,682,674,700,(R) 765,(R) 749,813,,
Train accidents,N,N,N,N,29,8,10,19,6,67,12,14,25,17,4,9,10,6,15,4,13,33,6,9,27,4,8,6,9,11,5,(R) 11,8,,
Highway-rail grade crossing,N,N,N,N,833,582,698,608,579,626,615,579,488,461,431,402,425,421,357,334,371,359,369,339,290,248,261,246,231,232,262,(R) 233,265,,
Tresspassers,N,N,N,N,457,391,543,524,533,523,529,494,471,533,536,479,463,511,540,498,472,458,511,470,457,416,441,400,410,425,(R) 467,(R) 453,511,,
Other incident h,N,N,N,N,98,55,46,43,52,63,70,59,55,52,37,42,39,33,39,29,35,34,17,33,30,27,25,30,24,32,31,52,29,,
"Transit, total i",N,N,N,N,N,N,339,300,273,281,320,274,264,275,286,299,295,267,182,202,177,149,162,188,172,226,221,228,264,266,236,254,U,,
Passenger/Occupant,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,47,51,33,48,20,26,30,48,49,36,67,60,58,30,U,,
Employee/Worker,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,5,8,8,7,9,9,8,11,6,3,5,10,4,4,U,,
Other incident,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,130,143,136,94,133,153,134,167,166,189,192,196,174,220,U,,
"Water, total j",N,N,"1,418","1,466","1,360","1,116",865,924,816,800,784,829,709,821,815,734,701,681,890,844,815,829,883,842,854,865,821,904,765,650,674,692,U,,
Passenger vessel k,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,15,0,48,52,55,52,91,79,65,62,87,96,84,26,14,14,U,,
Freight vessel l,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,48,39,37,33,37,42,34,30,22,18,14,19,18,40,U,,
Industrial/Other m,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,44,50,47,47,45,36,46,37,40,32,16,45,32,12,U,,
Recreational boating n,739,"1,360","1,418","1,466","1,360","1,116",865,924,816,800,784,829,709,821,815,734,701,681,750,703,676,697,710,685,709,736,672,758,651,560,610,626,U,,
"Pipeline, total",N,N,30,15,19,33,9,14,15,17,22,21,53,10,21,22,38,7,12,12,23,16,19,16,8,13,19,12,10,8,19,10,16,,
Hazardous liquid pipeline,N,N,4,7,4,5,3,0,5,0,1,3,5,0,2,4,1,0,1,0,5,2,0,4,2,4,1,1,3,1,0,1,3,,
Gas pipeline,N,N,26,8,15,28,6,14,10,17,21,18,48,10,19,18,37,7,11,12,18,14,19,12,6,9,18,11,7,7,19,9,13,,
"Other counts, redundant with above",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Railroad, killed at public crossing with motor vehicle",N,N,N,786,708,480,568,497,466,517,501,455,377,378,325,309,306,315,271,249,256,258,267,227,199,161,136,138,135,141,143,(R) 125,129,,
"Rail, passenger",N,N,N,40,52,79,202,178,175,292,196,211,176,227,196,188,220,242,226,182,201,202,180,216,229,214,215,189,199,195,216,(R) 247,277,,
Train accidents,U,U,U,U,U,U,0,9,0,55,3,2,14,4,0,1,2,1,7,1,2,14,0,2,25,1,4,0,0,5,3,(R) 10,4,,
Highway-rail grade crossingo,U,U,U,U,U,U,74,54,70,77,57,81,53,72,70,70,72,95,69,72,72,70,74,87,70,82,74,58,62,75,60,78,96,,
Trespassers,U,U,U,U,U,U,117,U,U,U,U,U,U,U,U,U,135,138,141,103,117,109,100,116,127,125,131,123,126,108,144,(R) 151,173,,
"Rail, other",U,U,U,U,U,U,11,U,U,U,U,U,U,U,U,U,11,8,9,6,10,9,6,11,7,6,6,8,11,7,9,8,4,,
"Rail, freight",N,N,N,"1,520","1,365",957,"1,095","1,016",995,987,"1,030",935,863,837,812,745,717,729,725,683,690,682,723,635,575,481,520,493,476,505,(R) 552,(R) 502,536,,
Train accidents,U,U,U,U,28,U,10,U,U,U,U,U,U,U,U,U,8,5,8,3,11,19,6,7,2,3,4,6,9,6,2,1,4,,
Highway-rail grade crossingp,U,U,U,U,821,U,624,U,U,U,U,U,U,U,U,U,353,326,288,262,299,289,295,252,220,166,187,188,170,157,203,(R) 155,169,,
Trespassers,U,U,U,U,426,U,426,U,U,U,U,U,U,U,U,U,328,373,399,395,355,349,411,354,330,291,310,277,284,317,(R) 325,302,338,,
"Rail, other",U,U,U,U,90,U,35,U,U,U,U,U,U,U,U,U,28,25,30,23,25,25,11,22,23,21,19,22,13,25,22,44,25,,
"Transit, non-rail",N,N,N,N,N,N,110,91,99,85,110,88,112,116,113,103,98,100,93,136,95,92,121,122,88,91,100,96,114,122,101,103,U,,
"Transit, rail",N,N,N,N,N,N,229,209,174,196,210,186,152,159,173,196,197,167,89,66,81,54,41,65,84,134,120,132,150,144,135,151,U,,
"Water, Vessel-relatedq",N,N,178,243,206,131,85,30,97,105,77,53,55,48,69,58,53,53,29,44,65,46,45,31,31,34,37,27,25,16,14,40,U,,
"Water, Not related to vessel casualtiesr",N,N,420,330,281,130,101,56,119,121,131,134,142,120,149,136,134,94,64,76,69,67,70,65,82,72,58,43,60,74,50,26,U,,
KEY: N = data does not exist; R = revised; U = data are not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a All services operating under 14 CFR 121 (Scheduled air carriers).  Since Mar. 20, 1997, 14 CFR 121 include aircraft with 10 or more seats that formerly operated under 14 CFR 135. This change makes it difficult to compare pre-1997 data for 14 CFR 121 and 14 CFR 135 with more recent data.  In 2001, other than the persons aboard the aircraft who were killed, fatalities resulting from the September 11 terrorist acts are excluded. U.S. air carrier figure does not include 12 persons killed aboard a commuter aircraft when it and a US Air airliner collided.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b All scheduled service operating under 14 CFR 135 (Commuter air carriers). Before Mar. 20, 1997, 14 CFR 135 applied to aircraft with 30 or fewer seats. Since Mar. 20, 1997, 14 CFR 135 includes only aircraft with fewer than 10 seats.  This change makes it difficult to compare pre-1997 data for 14 CFR 121 and 14 CFR 135  with more recent data. Commuter air carrier figure does not include 22 persons killed aboard a US Air airliner when it and a commuter aircraft collided.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c Nonscheduled service operating under 14 CFR 135 (On-demand air taxis). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d All operations other than those operating under 14 CFR 121 and 14 CFR 135.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"e Light trucks are defined as trucks of 10,000 pounds gross vehicle weight rating or less, including pickups, vans, truck-based station wagons, and utility vehicles. Large trucks are defined as trucks over 10,000 pounds gross vehicle weight rating, including single-unit trucks and truck tractors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"f Includes occupants of other vehicle types, other nonmotorists, and unknown. For 1960-70, the U.S. Department of Transportation, National Highway Traffic Safety Administration did not break out fatality data to the same level of detail as in later years, so fatalities for those years also include occupants of passenger cars, trucks, and buses.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g Railroad fatality data for 1975 and before is not comparable with later years due to a change in the reporting system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h Other incidents are events other than Train Accidents or Crossing Incidents that cause physical harm to persons.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"i Includes transit employee, contract worker, passenger, revenue facility occupant, and other fatalities for all modes reported in the National Transit Database. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"j Passenger, freight, and industrial/other include only closed cases where vessels were involved in a marine casualty as of April 6, 2015. Open cases by fiscal year not included above: CY 2002 = 0, CY 2003 = 5, CY 2004 = 5, CY 2005 = 8, CY 2006 = 4, CY 2007 = 7, CY 2008 = 19, CY 2009 = 38, CY 2010 = 36, CY 2011 = 120, CY 2012 = 644, CY 2013 = 727, and CY 2014 = 742. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"k Passenger includes passenger ships, research ships, and schools ships and include only closed cases where vessels were involved in a marine casualty as of April 6, 2015. Open cases by fiscal year not included above: CY 2002 = 0, CY 2003 = 5, CY 2004 = 5, CY 2005 = 8, CY 2006 = 4, CY 2007 = 7, CY 2008 = 19, CY 2009 = 38, CY 2010 = 36, CY 2011 = 120, CY 2012 = 644, CY 2013 = 727, and CY 2014 = 742. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"l Freight includes barges, bulk carriers, general dry cargo ships, refrigerated cargo ships, roll-on/roll-off ships, tank ships, and towing ships and include only closed cases where vessels were involved in a marine casualty as of April 6, 2015. Open cases by fiscal year not included above: CY 2002 = 0, CY 2003 = 5, CY 2004 = 5, CY 2005 = 8, CY 2006 = 4, CY 2007 = 7, CY 2008 = 19, CY 2009 = 38, CY 2010 = 36, CY 2011 = 120, CY 2012 = 644, CY 2013 = 727, and CY 2014 = 742. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"m Industrial/other includes fishing vessels, miscellaneous vessels, and offshore include only closed cases where vessels were involved in a marine casualty as of April 6, 2015. Open cases by fiscal year not included above: CY 2002 = 0, CY 2003 = 5, CY 2004 = 5, CY 2005 = 8, CY 2006 = 4, CY 2007 = 7, CY 2008 = 19, CY 2009 = 38, CY 2010 = 36, CY 2011 = 120, CY 2012 = 644, CY 2013 = 727, and CY 2014 = 742. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"n Recreational includes airboats, canoes, kayaks, motorboats, pontoon, rowboats, and sailboats. Data are based on information provided by the States, the District of Columbia and the five U.S. Territories to the Coast Guard Boating Accident Report Database (BARD) system, which is subject to some under- or delayed reporting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o Includes passenger train collisions with vehicles and people at all public and private highway-rail grade crossings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p Highway-rail grade crossing fatalities include freight train collisions with vehicles and people at all public and private highway-rail grade crossings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q Vessel-related casualties include those involving damage to vessels such as collisions or groundings. Fatalities not related to vessel casualties include deaths from falling overboard or from accidents involving onboard equipment. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"r1992-97 data come from the Marine Safety Management Information System. Between 1998 and 2001, the U.S. Coast Guard phased in a new computer system to track safety data, the Marine Information for Safety and Law Enforcement System. During that period, data come from combining entries in the Marine Safety Management Information System with entries in the Marine Information for Safety and Law Enforcement System. Data for prior years come from other sources and may not be directly comparable. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To reduce double counting, the following adjustments are made to Total Fatalities: For Railroad, fatalities involving motor vehicles at public highway-rail grade crossings are excluded because such fatalities are assumed to be included in Highway fatalities. For Transit, non-rail modes, including aerial tramway, motor bus, bus rapid transit, commuter bus, demand response, demand taxi, ferryboat, jitney, publico, trolleybus, and vanpool fatalities are excluded because they are counted as Water and Highway fatalities. Other counts, redundant with above help eliminate double counting in the Total Fatalities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway fatalities data prior to 1975 have been adjusted to reflect the Fatality Analysis Reporting System's definition of a fatal crash as one that involves a motor vehicle on a traffic way that results in the death of a vehicle occupant or a nonmotorist within 30 days of the crash.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water injury data for 2001 and before is not comparable with later year due to a change in the reporting system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current version of this table is not comparable with the versions before 2014 because of the categories changing for some modes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline incudes serious incidents only.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Air Carrier:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960: National Transportation Safety Board, Annual Review of Aircraft Accident Data: U.S. Air Carrier Operations, Calendar Year 1967 (Washington, DC: December 1968).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1965-70: Ibid., Annual Review of Aircraft Accident Data: U.S. Air Carrier Operations, Calendar Year 1975, NTSB/ARC-77/1 (Washington, DC: January 1977).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975: Ibid., Annual Review of Aircraft Accident Data: U.S. Air Carrier Operations, Calendar Year 1983, NTSB/ARC-87/01 (Washington, DC: February 1987), table 18.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980: Ibid., Annual Review of Aircraft Accident Data: U.S. Air Carrier Operations, Calendar Year 1981, NTSB/ARC-85/01 (Washington, DC: February 1985), tables 2 and 16.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-2015: Ibid., Aviation Accident Statistics (Washington, DC: Annual Issues), table 5, available at http://www.ntsb.gov/investigations/data/pages/aviation_stats.aspx as of Oct. 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commuter:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-80: National Transportation Safety Board, Annual Review of Aircraft Accident Data: U.S. Air Carrier Operations, Calendar Year 1980, NTSB/ARC-83/01 (Washington, DC: January 1983), tables 26 and 40.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-2015: Ibid., Aviation Accident Statistics (Washington, DC: Annual Issues), table 8, available at http://www.ntsb.gov/investigations/data/pages/aviation_stats.aspx as of Oct. 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On-demand air taxi:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-80: National Transportation Safety Board, Annual Review of Aircraft Accident Data: U.S. Air Carrier Operations, Calendar Year 1981, NTSB/ARC-85/01 (Washington, DC: February 1985), table 61.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-2015: Ibid., Aviation Accident Statistics (Washington, DC: Annual Issues), table 9, available at http://www.ntsb.gov/investigations/data/pages/aviation_stats.aspx as of Oct. 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General aviation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-70: National Transportation Safety Board, Annual Review of Aircraft Accident Data: U.S. General Aviation, Calendar Year 1970, NTSB/ARG-74/1 (Washington, DC: April 1974), table 117.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-80: Ibid., Annual Review of Aircraft Accident Data: General Aviation, Calendar Year 1985, NTSB/ARG-87/03 (Washington, DC: October 1987), table 21.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-2015: Ibid., Aviation Accident Statistics (Washington, DC: Annual Issues),  table 10, available at http://www.ntsb.gov/investigations/data/pages/aviation_stats.aspx as of Oct. 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-65:  U.S. Department of Transportation, National Highway Traffic Safety Administration from data supplied by U.S. Department of Health and Human Services, National Center for Health Statistics, and individual state accident reports (adjusted to 30-day deaths).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-2014: U.S. Department of Transportation, National Highway Traffic Safety Administration, Traffic Safety Facts (Annual Editions), Table 4, available at http://www-nrd.nhtsa.dot.gov/cats/index.aspx as of May 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2015: U.S. Department of Transportation, National Highway Traffic Safety Administration, 2015 Motor Vehicle Crashes: Overview, Table 3 as of Aug. 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rail:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway-rail grade crossing:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-13: U.S. Department of Transportation, Federal Railroad Administration, Office of Safety Analysis, table 5.11, Hwy/Rail Incidents Summary Tables, available at http://safetydata.fra.dot.gov/OfficeofSafety/ as of July 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2014-2016: U.S. Department of Transportation, Federal Railroad Administration, Office of Safety Analysis, table 5.14, Hwy Rail Accident Incident Summary By Railroad, available at http://safetydata.fra.dot.gov/OfficeofSafety/ as of Mar. 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Railroad:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-65: National Safety Council, Accident Facts, 1974 (Washington, DC: 1974).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970: U.S. Department of Transportation, Federal Railroad Administration, Highway-Rail Crossing Accident/Incident and Inventory Bulletin (Washington, DC: Annual Issues), table 7.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-2016: Ibid., U.S. Department of Transportation, Federal Railroad Administration, Office of Safety Analysis, table 1.12, 1.13, 2.07, and 5.14 , available at http://safetydata.fra.dot.gov/OfficeofSafety/ as of March 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transit:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-01:  U.S. Department of Transportation, Volpe Center, Transit Safety and Security Statistics, available at http://transit-safety.volpe.dot.gov/data/samis.aspx as of Mar. 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2002-2015:  U.S. Department of Transportation, Federal Transit Administration, personal communication, Jun. 20, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Passenger, Freight, Industrial/Other:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2002-2015: U.S Department of Homeland Security, U.S. Coast Guard, Office of Investigations and Analysis, Compliance Analysis Division, personal communication, Nov. 20, 2012 and Nov. 12, 2013, Aug. 31, 2015 and May 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recreational:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-02: U.S. Department of Homeland Security, U.S. Coast Guard, Office of Boating Safety, Boating Statistics (Washington, DC: Annual Issues), table 31, available at http://www.uscgboating.org as of Jun. 2014.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2003-2015: U.S. Department of Homeland Security, U.S. Coast Guard, Recreational Boating Statistics (annual issues), available at www.uscgboating.org as of May 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hazardous liquid and gas pipeline:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1970-85: U.S. Department of Transportation, Research and Special Programs Administration, Office of Pipeline Safety, Accident and Incident Summary Statistics by Year, available at http://ops.dot.gov as of Nov. 18, 2003.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1990-2016: U.S. Department of Transportation, Pipeline and Hazardous Materials Safety Administration, Office of Pipeline Safety, Accident and Incident Summary Statistics by Year, available at http://phmsa.dot.gov/pipeline as of Mar. 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
